User_ID,Age,Gender,Caloric Goal (kcal),Dietary Preferences,Allergies,Meal Plan,Calories Per Meal,Macronutrients,Recipes
1,51,Female,2736,None,Nuts,Snacks,556,High Fat,Quinoa Bowl
2,45,Female,1839,None,Shellfish,Dinner,492,High Protein,Steak and Vegetables
3,22,Female,2631,None,Nuts,Dinner,560,Balanced,Steak and Vegetables
4,52,Female,1867,Vegan,Nuts,Lunch,582,Balanced,Steak and Vegetables
5,33,Female,3028,Vegan,Nuts,Snacks,754,High Protein,Steak and Vegetables
6,55,Male,3107,Vegetarian,None,Dinner,355,High Protein,Steak and Vegetables
7,59,Male,3469,Gluten-Free,None,Lunch,509,High Fat,Quinoa Bowl
8,52,Male,2224,Gluten-Free,Nuts,Breakfast,538,High Fat,Quinoa Bowl
9,63,Female,3115,Gluten-Free,Shellfish,Lunch,616,Balanced,Quinoa Bowl
10,61,Male,2012,Vegetarian,None,Snacks,574,High Fat,Quinoa Bowl
11,61,Female,1757,Vegan,Dairy,Breakfast,721,High Protein,Steak and Vegetables
12,22,Female,3488,Vegetarian,None,Lunch,687,High Protein,Quinoa Bowl
13,63,Female,2558,None,Nuts,Breakfast,521,Low Carb,Steak and Vegetables
14,57,Male,1573,Vegan,Shellfish,Dinner,596,Low Carb,Vegan Smoothie
15,63,Female,2440,None,Shellfish,Dinner,560,Low Carb,Vegan Smoothie
16,30,Male,1509,Vegetarian,Nuts,Lunch,722,High Protein,Steak and Vegetables
17,18,Female,1690,Gluten-Free,Shellfish,Snacks,724,Low Carb,Vegan Smoothie
18,46,Female,2037,None,Nuts,Snacks,702,Balanced,Vegan Smoothie
19,19,Female,2218,Vegetarian,Shellfish,Snacks,668,Low Carb,Steak and Vegetables
20,34,Female,1996,Vegan,Shellfish,Dinner,495,High Fat,Steak and Vegetables
21,53,Male,2882,None,Dairy,Lunch,496,Balanced,Steak and Vegetables
22,55,Female,1858,Vegan,Nuts,Dinner,317,Balanced,Quinoa Bowl
23,41,Female,3294,Vegetarian,Shellfish,Dinner,468,Low Carb,Grilled Chicken Salad
24,35,Female,2730,None,Nuts,Dinner,528,Low Carb,Vegan Smoothie
25,25,Male,3209,Vegetarian,Dairy,Dinner,480,High Protein,Vegan Smoothie
26,45,Female,1881,None,Dairy,Lunch,327,High Protein,Steak and Vegetables
27,21,Female,3458,None,Shellfish,Snacks,700,Low Carb,Steak and Vegetables
28,55,Male,3392,Vegetarian,Dairy,Snacks,315,Balanced,Steak and Vegetables
29,35,Male,2755,Vegan,Dairy,Snacks,508,Low Carb,Quinoa Bowl
30,64,Female,3243,Gluten-Free,None,Dinner,666,High Protein,Quinoa Bowl
31,25,Female,2189,None,Shellfish,Lunch,357,High Protein,Vegan Smoothie
32,37,Female,3095,Vegan,Shellfish,Breakfast,710,High Fat,Quinoa Bowl
33,62,Male,1842,Vegan,None,Dinner,454,Balanced,Quinoa Bowl
34,52,Male,1646,Vegan,None,Snacks,684,High Protein,Quinoa Bowl
35,34,Female,3301,Vegan,Dairy,Dinner,682,High Fat,Quinoa Bowl
36,54,Male,2783,None,Dairy,Snacks,728,Low Carb,Quinoa Bowl
37,28,Male,2108,Gluten-Free,Shellfish,Breakfast,674,Balanced,Steak and Vegetables
38,52,Female,1922,Gluten-Free,Dairy,Lunch,710,Low Carb,Vegan Smoothie
39,35,Male,2600,Vegan,Nuts,Lunch,334,High Fat,Quinoa Bowl
40,61,Female,1830,None,Nuts,Snacks,464,High Fat,Steak and Vegetables
41,37,Male,3078,Gluten-Free,Shellfish,Lunch,347,Balanced,Grilled Chicken Salad
42,64,Female,2723,Vegan,Nuts,Lunch,733,High Fat,Grilled Chicken Salad
43,21,Female,2621,Vegan,None,Dinner,425,Balanced,Quinoa Bowl
44,43,Male,2048,Vegetarian,Shellfish,Breakfast,333,Low Carb,Grilled Chicken Salad
